epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.068,0.76124,0.47129,0.89664,0.89419,0.78736,0.87007,0.62644,0.77665,0.46704,0.92547,0.06711,0.000332222,0.000332222
2,305.52,0.78845,0.48843,0.90782,0.84876,0.76422,0.84175,0.59402,0.85567,0.52028,0.94986,0.0341074,0.000662958,0.000662958
3,448.875,0.81805,0.51239,0.91762,0.82546,0.78174,0.83899,0.57478,0.85564,0.52491,0.94803,0.00109447,0.000983355,0.000983355
4,592.069,0.831,0.52531,0.92127,0.84627,0.78032,0.84612,0.58398,0.82998,0.52217,0.94161,0.000965239,0.000965239,0.000965239
5,735.082,0.82805,0.52098,0.9187,0.8028,0.78974,0.83887,0.57794,0.84511,0.52318,0.94681,0.000938772,0.000938772,0.000938772
6,878.501,0.82832,0.51661,0.91894,0.84147,0.7877,0.85294,0.59332,0.82496,0.50378,0.94396,0.000905463,0.000905463,0.000905463
7,1021.78,0.82203,0.50964,0.9167,0.87406,0.79129,0.87166,0.61232,0.81686,0.49549,0.93763,0.000865839,0.000865839,0.000865839
8,1165.33,0.80583,0.49793,0.91353,0.85087,0.80349,0.86793,0.60798,0.80616,0.48527,0.93376,0.000820525,0.000820525,0.000820525
9,1308.93,0.79721,0.49225,0.91123,0.8601,0.77827,0.85435,0.61672,0.79413,0.48634,0.93206,0.000770234,0.000770234,0.000770234
10,1452.62,0.78545,0.48177,0.90701,0.86391,0.81081,0.87137,0.62116,0.79116,0.47314,0.92968,0.000715761,0.000715761,0.000715761
11,1595.79,0.77185,0.47311,0.90292,0.89469,0.82699,0.88397,0.64047,0.76806,0.45352,0.92291,0.000657963,0.000657963,0.000657963
12,1739.53,0.7568,0.45976,0.8972,0.8884,0.83058,0.88742,0.64539,0.76546,0.45181,0.92044,0.000597754,0.000597754,0.000597754
13,1882.29,0.74459,0.45137,0.89338,0.89345,0.83303,0.8954,0.65226,0.7563,0.44091,0.91764,0.000536081,0.000536081,0.000536081
14,2024.81,0.7347,0.44512,0.88941,0.88794,0.82848,0.88826,0.65137,0.74739,0.44121,0.91648,0.000473919,0.000473919,0.000473919
15,2167.35,0.72078,0.4367,0.88587,0.88782,0.84339,0.89985,0.65992,0.73824,0.43368,0.91369,0.000412246,0.000412246,0.000412246
16,2315.22,0.69479,0.40838,0.87464,0.88744,0.84463,0.89254,0.6617,0.73432,0.42857,0.91124,0.000352037,0.000352037,0.000352037
17,2457.51,0.67525,0.39888,0.87015,0.90469,0.83476,0.89739,0.66032,0.73138,0.42394,0.91041,0.000294239,0.000294239,0.000294239
18,2598.6,0.66304,0.39154,0.86449,0.91349,0.83317,0.90152,0.67051,0.72797,0.41997,0.90787,0.000239766,0.000239766,0.000239766
19,2739.88,0.64969,0.38187,0.86422,0.91432,0.84273,0.90533,0.6798,0.7074,0.41167,0.90251,0.000189475,0.000189475,0.000189475
20,2882.33,0.63806,0.37341,0.85758,0.91484,0.84339,0.90576,0.68383,0.70143,0.40509,0.90227,0.000144161,0.000144161,0.000144161
21,3024.59,0.62628,0.36727,0.85575,0.91181,0.85005,0.90832,0.68497,0.69885,0.40339,0.90037,0.000104537,0.000104537,0.000104537
22,3165.48,0.61747,0.3619,0.85305,0.91334,0.85259,0.90793,0.68903,0.6913,0.39736,0.89911,7.12282e-05,7.12282e-05,7.12282e-05
23,3306.43,0.61001,0.35762,0.8524,0.91742,0.85279,0.91064,0.69012,0.68621,0.39497,0.89695,4.47606e-05,4.47606e-05,4.47606e-05
24,3448.49,0.6074,0.35537,0.84822,0.9227,0.84367,0.91116,0.69142,0.6834,0.39301,0.89586,2.55513e-05,2.55513e-05,2.55513e-05
25,3590.69,0.60477,0.35417,0.85126,0.91793,0.84755,0.9104,0.69345,0.68288,0.39227,0.89558,1.39032e-05,1.39032e-05,1.39032e-05
