epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.2,1.28905,1.45967,1.10186,0.50288,0.44763,0.42721,0.25239,1.17617,0.90816,1.0767,0.06711,0.000332222,0.000332222
2,309.311,1.20049,0.91762,1.06848,0.50364,0.43691,0.4392,0.27001,1.16025,0.93025,1.07961,0.0341093,0.000664905,0.000664905
3,450.734,1.17212,0.88365,1.06122,0.62917,0.46904,0.50183,0.29889,1.14238,0.89233,1.07048,0.0011061,0.00099499,0.00099499
4,593.647,1.14364,0.84456,1.04826,0.68359,0.52688,0.59359,0.35762,1.10204,0.81075,1.05232,0.000991232,0.000991232,0.000991232
5,738.179,1.11485,0.80655,1.03184,0.59362,0.5474,0.5845,0.36131,1.10178,0.7963,1.05081,0.000984449,0.000984449,0.000984449
6,883.172,1.0872,0.77108,1.01733,0.62922,0.591,0.62563,0.38653,1.05561,0.74632,1.03658,0.000975773,0.000975773,0.000975773
7,1027.45,1.06966,0.74722,1.01039,0.72934,0.64635,0.70938,0.44586,1.0073,0.67241,1.01076,0.000965239,0.000965239,0.000965239
8,1170.87,1.0469,0.72123,1.00363,0.71338,0.58697,0.67506,0.43623,1.00038,0.66534,1.00783,0.000952889,0.000952889,0.000952889
9,1315.42,1.02369,0.70314,0.99517,0.73105,0.65556,0.71108,0.45717,0.97918,0.65983,1.00292,0.000938772,0.000938772,0.000938772
10,1486.94,1.00893,0.68171,0.9898,0.8031,0.61033,0.72302,0.4781,0.9576,0.64424,0.98962,0.000922942,0.000922942,0.000922942
11,1643.99,0.99441,0.66624,0.98425,0.72998,0.65363,0.73788,0.46568,0.96818,0.63116,0.99166,0.000905463,0.000905463,0.000905463
12,1788.56,0.97865,0.64721,0.97619,0.82065,0.66401,0.76767,0.49799,0.95052,0.60704,0.98807,0.000886404,0.000886404,0.000886404
13,1932.92,0.96439,0.63395,0.97067,0.77151,0.72192,0.77183,0.51099,0.94434,0.59924,0.98007,0.000865839,0.000865839,0.000865839
14,2076.22,0.95871,0.6313,0.96705,0.81247,0.6544,0.75869,0.50761,0.91501,0.58971,0.97609,0.000843851,0.000843851,0.000843851
15,2220.45,0.94051,0.61267,0.96224,0.76951,0.72331,0.77834,0.51552,0.91771,0.60209,0.97663,0.000820525,0.000820525,0.000820525
16,2365.05,0.92653,0.6012,0.95589,0.79748,0.72994,0.78971,0.53231,0.88894,0.56786,0.9637,0.000795954,0.000795954,0.000795954
17,2509.74,0.92165,0.59064,0.95397,0.81674,0.73445,0.8106,0.54168,0.89782,0.56252,0.96649,0.000770234,0.000770234,0.000770234
18,2654.36,0.90691,0.58229,0.95002,0.82548,0.7152,0.81427,0.54928,0.88344,0.56042,0.96395,0.000743468,0.000743468,0.000743468
19,2798.49,0.89863,0.57244,0.94689,0.80839,0.73783,0.79956,0.55089,0.86586,0.54272,0.95651,0.000715761,0.000715761,0.000715761
20,2943.02,0.88779,0.5654,0.94126,0.80886,0.74974,0.81516,0.56024,0.86037,0.53572,0.95316,0.000687222,0.000687222,0.000687222
21,3087.24,0.87861,0.55362,0.93959,0.82253,0.74464,0.82245,0.56851,0.8512,0.5316,0.94928,0.000657963,0.000657963,0.000657963
22,3231.74,0.85955,0.54051,0.93465,0.84383,0.76251,0.83182,0.57512,0.85076,0.5132,0.95233,0.000628101,0.000628101,0.000628101
23,3375.63,0.85661,0.53672,0.93023,0.84145,0.76917,0.82868,0.5745,0.83423,0.51938,0.94487,0.000597754,0.000597754,0.000597754
24,3520.03,0.84623,0.52933,0.92782,0.84451,0.76448,0.84439,0.58445,0.83084,0.51291,0.9403,0.00056704,0.00056704,0.00056704
25,3664.04,0.83501,0.5196,0.92343,0.8712,0.77809,0.85814,0.60801,0.81304,0.49781,0.93867,0.000536081,0.000536081,0.000536081
26,3807.89,0.82019,0.50513,0.91995,0.85532,0.76056,0.84521,0.60091,0.8078,0.48674,0.93631,0.000505,0.000505,0.000505
27,3951.81,0.81573,0.50591,0.91745,0.87616,0.77164,0.85333,0.6035,0.80181,0.48278,0.93386,0.000473919,0.000473919,0.000473919
28,4095.97,0.80375,0.49327,0.91476,0.87527,0.80816,0.86943,0.61825,0.79091,0.47855,0.93036,0.00044296,0.00044296,0.00044296
29,4240.13,0.79535,0.48717,0.91257,0.8731,0.80275,0.87342,0.63392,0.78427,0.47103,0.92653,0.000412246,0.000412246,0.000412246
30,4384.11,0.78502,0.48137,0.90685,0.88235,0.80149,0.87306,0.63041,0.7799,0.46485,0.9238,0.000381899,0.000381899,0.000381899
