epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.912,1.2433,1.42648,1.11514,0.58529,0.44334,0.48766,0.3009,1.14726,0.92413,1.08483,0.0670882,0.000332442,0.000332442
2,419.665,1.14996,0.90934,1.08551,0.49636,0.49909,0.47937,0.29223,1.1108,0.87903,1.06804,0.0340879,0.000665486,0.000665486
3,617.702,1.12894,0.88412,1.07407,0.55471,0.58771,0.57007,0.34882,1.08255,0.8234,1.05137,0.0010865,0.000997374,0.000997374
4,813.947,1.10584,0.82763,1.06052,0.70254,0.56223,0.64225,0.39665,1.07416,0.82435,1.04849,0.000996097,0.000996097,0.000996097
5,1010.26,1.07806,0.79245,1.05285,0.70438,0.62853,0.6967,0.44092,1.03228,0.73776,1.03506,0.000993068,0.000993068,0.000993068
6,1205.52,1.04994,0.76163,1.03647,0.72449,0.61712,0.68198,0.43072,1.03242,0.73577,1.03193,0.000989183,0.000989183,0.000989183
7,1401.98,1.02433,0.72512,1.02387,0.74611,0.64216,0.72695,0.465,1.00839,0.68445,1.02404,0.000984449,0.000984449,0.000984449
8,1598.02,1.00975,0.70945,1.0182,0.83213,0.58114,0.72096,0.46969,0.99287,0.67904,1.01151,0.000978873,0.000978873,0.000978873
9,1794.63,0.99132,0.69439,1.01106,0.73207,0.6779,0.73548,0.48353,0.96537,0.66453,1.00099,0.000972466,0.000972466,0.000972466
10,1990.51,0.97395,0.67097,1.00375,0.79014,0.69141,0.78102,0.51422,0.95095,0.6313,0.99662,0.000965239,0.000965239,0.000965239
11,2190.31,0.96014,0.65522,0.99818,0.78306,0.71663,0.78798,0.52227,0.92058,0.61524,0.97829,0.000957205,0.000957205,0.000957205
12,2386.36,0.94577,0.63947,0.98983,0.75849,0.76141,0.79824,0.53686,0.92005,0.60057,0.98402,0.000948377,0.000948377,0.000948377
13,2625.4,0.92984,0.62656,0.98509,0.77779,0.73715,0.79586,0.54175,0.90025,0.59732,0.97306,0.000938772,0.000938772,0.000938772
14,2821.95,0.92122,0.61261,0.97925,0.82257,0.74495,0.82398,0.56087,0.89349,0.58054,0.96851,0.000928405,0.000928405,0.000928405
15,3018.05,0.90781,0.60167,0.97686,0.80418,0.77478,0.83271,0.56463,0.88448,0.56738,0.96409,0.000917296,0.000917296,0.000917296
16,3214.12,0.89881,0.59468,0.97099,0.80263,0.77149,0.82013,0.55892,0.86919,0.55801,0.95525,0.000905463,0.000905463,0.000905463
17,3410.09,0.89395,0.59236,0.96922,0.83709,0.78186,0.85086,0.58471,0.86322,0.54751,0.95737,0.000892928,0.000892928,0.000892928
18,3605.89,0.88109,0.57738,0.96525,0.83351,0.77801,0.85437,0.58332,0.867,0.54799,0.95785,0.000879713,0.000879713,0.000879713
19,3801.85,0.87844,0.57318,0.96341,0.82429,0.75746,0.83061,0.57851,0.85339,0.53875,0.95711,0.000865839,0.000865839,0.000865839
20,3997.45,0.86999,0.56086,0.95996,0.85479,0.77612,0.86321,0.59882,0.84622,0.53161,0.94947,0.000851333,0.000851333,0.000851333
21,4193.8,0.85704,0.55816,0.9566,0.8605,0.77434,0.8523,0.59938,0.83615,0.52465,0.94542,0.00083622,0.00083622,0.00083622
22,4390.16,0.8445,0.54706,0.94994,0.83288,0.79591,0.85743,0.60433,0.82765,0.53001,0.94714,0.000820525,0.000820525,0.000820525
23,4586.28,0.84108,0.54168,0.94775,0.84642,0.80369,0.87311,0.61081,0.82415,0.50934,0.94192,0.000804277,0.000804277,0.000804277
24,4782.1,0.82606,0.5304,0.94378,0.87611,0.80246,0.87614,0.62633,0.81691,0.50479,0.93617,0.000787503,0.000787503,0.000787503
25,4978.03,0.8229,0.52838,0.93966,0.84831,0.82243,0.8791,0.62068,0.81317,0.49953,0.93612,0.000770234,0.000770234,0.000770234
26,5173.94,0.81085,0.51369,0.93694,0.86551,0.80706,0.88432,0.63411,0.79526,0.48766,0.93208,0.0007525,0.0007525,0.0007525
27,5369.83,0.80704,0.51242,0.93529,0.87981,0.81139,0.88394,0.63648,0.79476,0.48376,0.9317,0.000734332,0.000734332,0.000734332
28,5565.73,0.80084,0.50411,0.93406,0.89141,0.81519,0.89164,0.64263,0.79396,0.48713,0.92798,0.000715761,0.000715761,0.000715761
29,5761.59,0.78812,0.49416,0.93009,0.87816,0.82694,0.89008,0.63963,0.78301,0.47227,0.92535,0.00069682,0.00069682,0.00069682
30,5957.69,0.78182,0.49348,0.92901,0.86562,0.8325,0.89213,0.64396,0.77842,0.46944,0.92306,0.000677543,0.000677543,0.000677543
31,6153.67,0.78201,0.49221,0.92745,0.88872,0.81227,0.88969,0.64504,0.7748,0.46845,0.92287,0.000657963,0.000657963,0.000657963
32,6349.39,0.77534,0.48579,0.92524,0.86602,0.84332,0.89276,0.64849,0.77308,0.4679,0.92161,0.000638115,0.000638115,0.000638115
33,6545.21,0.76849,0.48278,0.91945,0.88069,0.8474,0.89759,0.65694,0.75676,0.45925,0.91454,0.000618034,0.000618034,0.000618034
34,6741.32,0.75869,0.47638,0.91783,0.87512,0.84506,0.90527,0.66342,0.7584,0.45639,0.91333,0.000597754,0.000597754,0.000597754
35,6937.19,0.75467,0.46719,0.91535,0.91045,0.83846,0.91189,0.67648,0.74768,0.4441,0.9123,0.000577311,0.000577311,0.000577311
36,7132.96,0.73882,0.45834,0.90979,0.91235,0.83667,0.9145,0.6704,0.74334,0.44092,0.90968,0.000556742,0.000556742,0.000556742
37,7328.93,0.73482,0.45399,0.90792,0.87123,0.86186,0.90763,0.66585,0.73924,0.4407,0.90804,0.000536081,0.000536081,0.000536081
38,7524.85,0.72693,0.45195,0.90652,0.91308,0.85274,0.91628,0.68166,0.7321,0.43554,0.90688,0.000515366,0.000515366,0.000515366
39,7720.94,0.72188,0.4472,0.90521,0.8697,0.87208,0.91711,0.68622,0.72573,0.43217,0.90429,0.000494634,0.000494634,0.000494634
40,7916.47,0.70697,0.43596,0.89642,0.91223,0.83452,0.91206,0.68425,0.72193,0.42332,0.90265,0.000473919,0.000473919,0.000473919
41,8112.46,0.71069,0.43621,0.89907,0.91568,0.86447,0.92512,0.68976,0.7165,0.42135,0.90033,0.000453258,0.000453258,0.000453258
42,8308.51,0.69971,0.43136,0.89603,0.87893,0.86631,0.91227,0.6786,0.71718,0.42326,0.89835,0.000432689,0.000432689,0.000432689
43,8504.08,0.69717,0.42812,0.89623,0.9159,0.86067,0.92206,0.69373,0.71023,0.41409,0.8997,0.000412246,0.000412246,0.000412246
